Course Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,day4,day5,start_time_7,end_time_7,day7,start_time_8,end_time_8,day8,day9,day10,day11,start_time_1,start_time_2,start_time_3,end_time_1,end_time_2,end_time_3,start_time_4,start_time_5,end_time_4,end_time_5,end_time_9,end_time_10,end_time_11,start_time_9,start_time_10,start_time_11,Course Code
HEAT TRANSFER IN AEROSPACE APPLICATIONS(AE608),3-0-0-0(9),RAKESH  KUMAR (I),W (EEM117) F (EEM117)  10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,AE608
HEAT TRANSFER IN AEROSPACE APPLICATIONS(AE608A),3-0-0-0(9),RAKESH  KUMAR (I),WF 10:30-12:00,,,W,F,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,AE608A
AERODYNAMICS-I(AE610),3-0-0-0(9),Arnab Samanta(I),WF 12:00-13:15,,,W,F,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,AE610
AERODYNAMICS-I(AE610A),3-0-0-0(9),Arnab Samanta(I),W (EEM117) F (EEM117)  12:00-13:15,,,W,F,,,,,,,,,,,,,12:00 PM,12:00 PM,12:00 PM,13:15 PM,13:15 PM,13:15 PM,,,,,,,,,,,AE610A
VISCOUS FLOWS(AE614),3-0-0-0(9),KAMAL  PODDAR   (I),TTh 15:30-17:00,,,T,Th,,,,,,,,,,,,,15:30 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,17:00 PM,,,,,,,,,,,AE614
VISCOUS FLOWS(AE614A),3-0-0-0(9),KAMAL  PODDAR   (I),T (NWTF Class room) Th (NWTF Class room)  15:30-17:00,,,T,Th,,,,,,,,,,,,,15:30 PM,15:30 PM,15:30 PM,17:00 PM,17:00 PM,17:00 PM,,,,,,,,,,,AE614A
BOUNDARY LAYER INSTABILITY AND TRANSITION(AE617),3-0-0-0(9),Navrose (I),WF 17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,AE617
BOUNDARY LAYER INSTABILITY AND TRANSITION(AE617A),3-0-0-0(9),Navrose (I),W (Helicopter building) F (Helicopter building)  17:00-18:30,,,W,F,,,,,,,,,,,,,17:00 PM,17:00 PM,17:00 PM,18:30 PM,18:30 PM,18:30 PM,,,,,,,,,,,AE617A
SPORTS AERODYNAMICS(AE643),3-0-0-0(9),SANJAY  MITTAL   (I),M (NWTF Class room) Th (NWTF Class room)  10:30-12:00,,,M,Th,,,,,,,,,,,,,10:30 AM,10:30 AM,10:30 AM,12:00 PM,12:00 PM,12:00 PM,,,,,,,,,,,AE643
MACHINE LEARNING FOR FLUID MECHANICS(AE646),2-0-3-0(9),"Rajesh Ranjan(I), Murali Damodaran(O)",M (Helicopter building) Th (Helicopter building)  17:10-18:00,,W 14:00-17:00,M,Th,,,,,,,,,,W,1,None,17:10 PM,17:10 PM,17:10 PM,18:00 PM,18:00 PM,18:00 PM,,,,,5:00 PM,5:00 PM,5:00 PM,2:00 PM,2:00 PM,2:00 PM,AE646
