,Course Name/Group Name,Credits,Instructor,Time,Time.1,Time.2,day1,day2,day3,start_time123,end_time123,day4,day5,start_time456,end_time456,start_time7,end_time7,day7,start_time8,end_time8,day8
743,MS - RESEARCH THESIS(ME899),0-0-0-0(0),DPGCME (I),,,,,,,,,,,,,,,,,,
744,ELECTROCHEMICAL ENERGY SYSTEMS(SEE606),3-0-0-0(9),Kanwar Singh Nalwa(I),WF 10:30-12:00,,,W,F,,10:30 AM,12:00 PM,,,,,,,,,,
745,MANUFACTURING PROCESSES II(TA212),0-0-3-0(3),SHANTANU  BHATTACHARYA   (I),,,ThF 14:00-17:00,,,,,,,,,,,,,,,
746,NATURE AND PROPERTIES OF MATERIALS(ESO205A),3-1-3-0(14),SANDEEP  SANGAL (I),M (L01) W (L01) F (L01)  11:00-12:00,Th (L10) Th (L13) Th (L09)  11:00-12:00,TThF 14:00-17:00,M,W,F,11:00 AM,12:00 PM,,,,,,,,11:00 AM,12:00 PM,T
747,INTRODUCTION TO MATERIALS SCIENCE AND ENGINEERING(ESO225),2-1-0-0(8),KRISHANU  BISWAS (I),M (L09) W (L09)  11:00-12:00,F (T205) F (T204) F (T203)  11:00-12:00,,M,W,,11:00 AM,12:00 PM,,,,,,,,11:00 AM,12:00 PM,F
748,THERMODYNAMICS & PHASE EQUILIBRIA(MSE201),3-1-0-0(11),DEEPAK  GUPTA (I),M (L05) W (L05) F (L05)  12:00-13:00,Th (L05)  12:00-13:00,,M,W,F,12:00 PM,13:00 PM,,,,,,,,12:00 PM,13:00 PM,T
749,COMPUTATIONAL METHODS IN MATERIAL SCIENCE AND ENGINEERING(MSE204),3-0-0-0(9),SOMNATH BHOWMICK(I),M (L15) W (L15) F (L15)  17:00-18:00,,,M,W,F,17:00 PM,18:00 PM,,,,,,,,,,
750,PROFESSIONAL & TECHNICAL COMMUNICATION(MSE300A),0-0-0-2(2),MONICA  KATIYAR (I),,,T 10:00-12:00,,,,,,,,,,,,,,,
751,PHASE TRANSFORMATIONS(MSE301A),2-0-0-0(6),KALLOL  MONDAL (I),T (L15) Th (L15)  17:00-18:00,,,T,Th,,17:00 PM,18:00 PM,,,,,,,,,,
752,MECHANICAL BEHAVIOUR OF MATERIALS(MSE302A),3-0-0-0(9),Srinu Gangolu(I),T (L04) W (L04) Th (L04)  08:00-09:00,,,T,W,T,8:00 AM,9:00 AM,,,,,,,,,,
753,ELECTRONIC & MAGNETIC PROPERTIES OF MATERIALS(MSE303A),3-0-0-0(9),ANSHU GAUR(I),"M (L15) F (L15)  08:00-09:00 ,T (L15)  09:00-10:00",,,M,F,,8:00 AM,9:00 AM,T,,9:00 AM,10:00 AM,,,,,,
754,PHYSICAL METALLURGY LABORATORY(MSE311A),0-0-3-0(3),SHOBIT OMAR(I),,,MTTh 14:00-17:00,,,,,,,,,,,,,,,
755,MECHANICAL BEHAVIOUR LABORATORY(MSE313A),0-0-3-0(3),Nilesh Badwe(I),,,MTTh 14:00-17:00,,,,,,,,,,,,,,,
756,UNDER GRADUATE PROJECT I(MSE349A),0-0-2-0(4),DUGCMSE (I),,,,,,,,,,,,,,,,,,
757,UNDER GRADUATE PROJECT III(MSE497A),3-0-0-0(9),DUGCMSE (I),,,,,,,,,,,,,,,,,,
